company,model,manufacture_year,km_driven,owner_type,fuel,transmission,mileage,max_power,seats,price
Maruti,Swift,2023,10000,1st Owner,Petrol,Automatic,21.21,81.8,5,660000
BMW,3,2021,68000,2nd Owner,Diesel,Automatic,22.69,190.0,5,2090000
Kia,Seltos,2025,8000,2nd Owner,Petrol,Manual,16.8,113.4,5,1275000
Maruti,Swift,2020,65000,2nd Owner,Diesel,Manual,28.4,74.0,5,495000
Hyundai,Grand,2021,25000,1st Owner,Petrol,Manual,18.9,82.0,5,475000
Maruti,Ciaz,2020,70000,1st Owner,Petrol,Manual,20.73,91.1,5,530000
Tata,Tiago,2021,9500,1st Owner,Petrol,Manual,23.84,84.0,5,530000
Hyundai,Verna,2020,9100,1st Owner,Petrol,Manual,17.01,121.3,5,650000
Honda,City,2015,86000,2nd Owner,Petrol,Manual,17.0,118.0,5,335000
Audi,A4,2018,78000,2nd Owner,Diesel,Automatic,16.55,147.51,5,1290000
Ford,Figo,2016,60000,1st Owner,Diesel,Manual,20.0,68.0,5,300000
Maruti,Wagon R,2024,7883,3rd Owner,Petrol,Automatic,21.5,81.8,5,550000
Maruti,Swift Dzire,2018,50205,3rd Owner,Diesel,Manual,23.4,74.0,5,390000
Mahindra,Bolero,2013,220000,1st Owner,Diesel,Manual,13.6,63.0,7,260000
Tata,Tigor,2022,58000,2nd Owner,Diesel,Manual,24.7,69.0,5,395000
Mahindra,Scorpio,2017,170000,1st Owner,Diesel,Manual,12.05,120.0,8,550000
Maruti,Swift Dzire,2023,15000,1st Owner,Petrol,Manual,22.0,81.8,5,650000
Maruti,Swift,2021,71245,2nd Owner,Diesel,Manual,28.4,74.0,5,375000
Kia,Seltos,2024,7000,1st Owner,Petrol,Manual,16.1,138.0,5,1300000
Maruti,Alto,2023,20000,1st Owner,Petrol,Manual,23.95,67.05,5,360000
Maruti,Celerio,2025,8700,1st Owner,Petrol,Manual,21.63,67.04,5,505000
Maruti,Alto,2024,25000,1st Owner,Petrol,Manual,24.7,47.3,5,310000
Hyundai,i20,2020,42000,2nd Owner,Petrol,Manual,18.6,81.86,5,545000
Mahindra,Bolero,2011,120000,1st Owner,Diesel,Manual,13.6,63.0,7,150000
Maruti,Baleno,2023,50000,1st Owner,Petrol,Manual,21.4,83.1,5,580000
Maruti,Wagon R,2016,58000,1st Owner,Petrol,Manual,18.9,67.1,5,250000
Hyundai,Verna,2022,36000,1st Owner,Petrol,Manual,17.43,105.5,5,650000
Maruti,Ertiga,2023,30000,1st Owner,Diesel,Manual,25.47,88.5,7,410000
Ford,Ecosport,2020,162828,2nd Owner,Diesel,Manual,22.77,98.59,5,531000
Ford,Ecosport,2023,7500,1st Owner,Diesel,Manual,23.0,98.96,5,890000
Tata,Safari,2021,47227,2nd Owner,Diesel,Manual,14.0,138.1,7,775000
Maruti,Wagon R,2023,52000,2nd Owner,CNG,Manual,33.54,67.04,5,435000
Ford,Figo,2017,74000,2nd Owner,Diesel,Manual,20.0,68.05,5,185000
Mahindra,Bolero,2016,47000,2nd Owner,Diesel,Manual,15.96,62.1,7,440000
Hyundai,i20,2020,50000,1st Owner,Petrol,Manual,18.6,81.83,5,450000
Maruti,Baleno,2022,100000,1st Owner,Petrol,Manual,21.4,83.1,5,600000
Maruti,Celerio,2019,35000,1st Owner,Petrol,Manual,23.1,67.04,5,320000
Hyundai,i20,2021,50000,1st Owner,Diesel,Manual,21.19,88.73,5,700000
Ford,Aspire,2023,10000,1st Owner,Petrol,Manual,18.16,86.8,5,630000
Maruti,Alto,2021,10370,1st Owner,Petrol,Manual,22.74,47.3,5,320000
Honda,City,2018,62000,2nd Owner,Petrol,Manual,16.8,116.3,5,465000
Hyundai,i20,2021,40000,1st Owner,Petrol,Manual,18.6,81.83,5,550000
Maruti,Swift,2022,60000,1st Owner,Petrol,Manual,22.0,81.8,5,445000
Tata,Safari,2018,67231,2nd Owner,Diesel,Manual,14.0,138.1,7,705000
Maruti,Wagon R,2018,64000,2nd Owner,CNG,Manual,33.54,67.04,5,270000
Honda,City,2019,63000,2nd Owner,Diesel,Manual,26.0,98.6,5,475000
Toyota,Fortuner,2020,80000,1st Owner,Diesel,Manual,12.55,168.5,7,1755000
Honda,City,2016,55000,2nd Owner,Petrol,Manual,16.9,100.0,5,350000
Hyundai,i20,2021,11000,2nd Owner,Petrol,Manual,18.6,81.83,5,575000
Renault,KWID,2022,17000,1st Owner,Petrol,Manual,23.01,67.0,5,360000
Maruti,Alto,2022,25000,1st Owner,Petrol,Manual,24.7,47.3,5,275000
Datsun,GO,2021,33350,1st Owner,Petrol,Manual,19.44,67.0,7,320000
Hyundai,Grand,2020,62000,2nd Owner,Petrol,Manual,18.9,82.0,5,370000
Maruti,Swift Dzire,2014,59000,1st Owner,Petrol,Manual,17.5,85.8,5,275000
Honda,City,2019,86113,2nd Owner,Petrol,Manual,17.4,117.3,5,550000
Maruti,Swift Dzire,2023,10000,1st Owner,Diesel,Manual,28.4,74.02,5,750000
Maruti,Wagon R,2020,92537,1st Owner,Petrol,Manual,20.51,67.04,5,272000
Maruti,Ciaz,2024,27645,2nd Owner,Diesel,Manual,28.09,88.5,5,951000
Maruti,Alto,2018,46242,1st Owner,Petrol,Manual,20.92,67.1,5,280000
Honda,City,2018,70000,1st Owner,Petrol,Manual,16.8,116.3,5,545000
Renault,KWID,2025,6000,1st Owner,Petrol,Manual,22.3,53.26,5,450000
Hyundai,i20,2022,64000,2nd Owner,Petrol,Manual,18.6,81.83,5,480000
Mahindra,Scorpio,2022,93000,2nd Owner,Diesel,Manual,15.4,120.0,7,1060000
Maruti,Alto,2018,26200,2nd Owner,Petrol,Manual,22.74,47.3,5,235000
Maruti,Baleno,2022,25000,1st Owner,Petrol,Manual,21.4,83.1,5,590000
Toyota,Fortuner,2023,50000,2nd Owner,Diesel,Automatic,12.9,174.5,7,2950000
Hyundai,Santro,2013,80000,1st Owner,Petrol,Manual,17.92,62.1,5,110000
Mahindra,Scorpio,2012,110000,1st Owner,Diesel,Manual,13.5,115.0,5,280000
Audi,A4,2021,55000,2nd Owner,Petrol,Automatic,17.84,147.51,5,1851000
Honda,City,2023,25000,1st Owner,Petrol,Manual,17.4,117.3,5,750000
Hyundai,Grand,2020,36000,2nd Owner,Petrol,Manual,18.9,81.86,5,400000
Maruti,Swift Dzire,2020,40000,1st Owner,Diesel,Manual,26.59,74.0,5,530000
Mahindra,Thar,2023,25000,1st Owner,Diesel,Manual,16.55,105.0,6,870000
Renault,KWID,2023,30038,2nd Owner,Petrol,Manual,25.17,53.3,5,295000
Tata,Tiago,2022,53000,1st Owner,Diesel,Manual,27.28,69.0,5,370000
Maruti,Swift,2023,5000,1st Owner,Petrol,Manual,21.21,81.8,5,530000
Renault,KWID,2022,35000,1st Owner,Petrol,Automatic,24.04,67.0,5,350000
Ford,Ecosport,2018,62000,2nd Owner,Diesel,Manual,22.7,89.84,5,470000
Ford,Aspire,2020,42000,1st Owner,Diesel,Manual,25.83,99.0,5,390000
Mahindra,Scorpio,2020,80000,1st Owner,Diesel,Manual,15.4,120.0,7,920000
Mahindra,XUV500,2018,60000,1st Owner,Diesel,Manual,15.1,140.0,7,550000
Hyundai,Verna,2019,45000,1st Owner,Diesel,Manual,22.32,126.32,5,635000
Mahindra,XUV500,2022,50000,2nd Owner,Diesel,Automatic,16.0,140.0,7,1250000
Maruti,Alto,2023,12000,1st Owner,Petrol,Manual,24.7,47.3,5,300000
Honda,City,2023,12000,1st Owner,Petrol,Automatic,18.0,117.6,5,960000
Maruti,Vitara,2023,15000,1st Owner,Diesel,Manual,24.3,88.5,5,750000
Volkswagen,Polo,2016,63000,2nd Owner,Petrol,Manual,16.47,73.9,5,249000
Tata,Hexa,2023,30000,1st Owner,Diesel,Manual,17.6,153.86,7,1400000
Ford,Figo,2016,160800,1st Owner,Diesel,Manual,20.0,68.0,5,250000
Hyundai,Verna,2019,120000,1st Owner,Diesel,Manual,22.32,126.32,5,610000
Ford,Ecosport,2021,78247,2nd Owner,Diesel,Manual,21.7,98.96,5,545000
Hyundai,Verna,2018,113000,1st Owner,Diesel,Manual,22.32,126.3,5,480000
Hyundai,i20,2019,52000,2nd Owner,Petrol,Manual,18.6,81.83,5,395000
Toyota,Innova,2017,109000,2nd Owner,Diesel,Manual,12.99,100.6,7,495000
Hyundai,Grand,2022,90000,1st Owner,Petrol,Manual,18.9,82.0,5,470000
Volkswagen,Polo,2016,98000,2nd Owner,Diesel,Manual,22.07,73.9,5,200000
Hyundai,i20,2021,20000,1st Owner,Diesel,Manual,21.19,88.73,5,699000
Maruti,Wagon R,2019,21717,1st Owner,Petrol,Manual,20.51,67.04,5,340000
Renault,Duster,2019,40000,1st Owner,Diesel,Manual,20.45,83.8,5,500000
Honda,City,2022,50000,1st Owner,Petrol,Manual,17.14,117.6,5,1050000
Renault,Duster,2021,90000,1st Owner,Diesel,Manual,19.6,108.45,5,600000
Maruti,Swift,2022,27876,2nd Owner,Petrol,Manual,20.4,81.8,5,491000
Land Rover,Rover,2021,56000,2nd Owner,Petrol,Automatic,12.63,177.0,5,2890000
Hyundai,i10,2013,57215,1st Owner,Petrol,Manual,20.36,78.9,5,160000
Hyundai,Venue,2024,5400,2nd Owner,Petrol,Manual,18.27,118.35,5,985000
Maruti,Swift Dzire,2019,60000,1st Owner,Diesel,Manual,23.4,74.0,5,500000
Tata,Tiago,2022,24800,1st Owner,Petrol,Manual,23.84,84.0,5,335000
Maruti,Alto,2010,70000,1st Owner,Petrol,Manual,19.7,46.3,5,85000
Honda,Jazz,2023,20000,2nd Owner,Petrol,Automatic,17.1,88.51,5,740000
Maruti,Swift,2018,34553,2nd Owner,Petrol,Manual,22.0,81.8,5,375000
Maruti,Vitara,2023,40000,1st Owner,Diesel,Manual,24.3,88.5,5,810000
Volkswagen,Polo,2015,350000,1st Owner,Petrol,Manual,16.47,73.9,5,173000
Maruti,Vitara,2022,50000,1st Owner,Diesel,Manual,24.3,88.5,5,700000
Mahindra,KUV,2021,70000,1st Owner,Diesel,Manual,25.32,77.0,6,310000
Mahindra,Scorpio,2022,120000,1st Owner,Diesel,Manual,15.4,120.0,7,850000
Hyundai,i20,2018,90000,1st Owner,Diesel,Manual,22.54,88.76,5,285000
Maruti,Swift Dzire,2019,120000,1st Owner,Diesel,Manual,23.4,74.0,5,450000
Hyundai,Creta,2022,80000,1st Owner,Diesel,Manual,19.67,126.2,5,1100000
Mahindra,Scorpio,2022,30000,1st Owner,Diesel,Manual,15.4,120.0,7,1080000
Honda,City,2019,66100,2nd Owner,Diesel,Manual,26.0,98.6,5,530000
Maruti,Swift Dzire,2022,50000,1st Owner,Diesel,Manual,28.4,74.02,5,680000
Mahindra,Scorpio,2022,42000,2nd Owner,Diesel,Manual,15.4,120.0,7,1025000
Hyundai,i20,2022,55000,1st Owner,Petrol,Manual,18.6,81.83,5,650000
Hyundai,i10,2017,110699,2nd Owner,Petrol,Manual,20.36,78.9,5,194000
Maruti,Baleno,2024,5000,1st Owner,Petrol,Automatic,21.4,83.1,5,686000
Maruti,Alto,2021,50000,1st Owner,Petrol,Manual,22.74,47.3,5,200000
Maruti,Swift Dzire,2015,44000,2nd Owner,Petrol,Manual,19.1,85.8,5,250000
Maruti,Vitara,2023,90000,1st Owner,Diesel,Manual,24.3,88.5,5,730000
Hyundai,Verna,2021,55000,2nd Owner,Petrol,Manual,17.01,121.3,5,650000
Maruti,Vitara,2022,45000,2nd Owner,Diesel,Manual,24.3,88.5,5,790000
Maruti,Baleno,2022,30000,1st Owner,Petrol,Manual,21.4,83.1,5,620000
Hyundai,Verna,2018,50000,1st Owner,Petrol,Manual,17.01,121.3,5,510000
Maruti,Eeco,2018,20000,1st Owner,Petrol,Manual,15.37,73.0,5,375000
Maruti,Swift Dzire,2022,19843,3rd Owner,Petrol,Automatic,21.21,81.8,5,620000
Ford,Endeavour,2016,30000,1st Owner,Diesel,Automatic,11.4,153.86,7,950000
Toyota,Innova,2022,52300,2nd Owner,Diesel,Manual,13.68,147.51,7,1450000
Honda,City,2021,40000,1st Owner,Petrol,Automatic,18.0,117.3,5,845000
Maruti,Swift Dzire,2019,61500,2nd Owner,Diesel,Manual,23.4,74.0,5,390000
Honda,Amaze,2020,59000,2nd Owner,Petrol,Manual,18.0,86.7,5,395000
Hyundai,Grand,2023,40000,1st Owner,Petrol,Manual,18.9,81.86,5,450000
Audi,A6,2018,60000,1st Owner,Diesel,Automatic,17.68,174.33,5,1700000
Hyundai,Grand,2018,61000,2nd Owner,Petrol,Manual,18.9,82.0,5,325000
Mahindra,KUV,2021,70000,1st Owner,Diesel,Manual,25.32,77.0,6,350000
Mahindra,XUV500,2018,63000,2nd Owner,Diesel,Manual,15.1,140.0,7,650000
Mercedes-Benz,E-Class,2017,58000,2nd Owner,Petrol,Manual,12.3,185.0,5,1250000
Maruti,Swift Dzire,2022,22000,1st Owner,Diesel,Manual,28.4,74.02,5,750000
Honda,City,2015,57977,2nd Owner,Petrol,Manual,17.0,118.0,5,299000
Land Rover,Rover,2023,13000,2nd Owner,Petrol,Automatic,12.19,237.36,4,7000000
Mini,Cooper,2017,67000,2nd Owner,Petrol,Automatic,17.33,189.08,4,1325000
Maruti,Ertiga,2019,48242,2nd Owner,Diesel,Manual,20.77,88.76,7,524000
Ford,Figo,2017,68000,2nd Owner,Diesel,Manual,20.0,68.05,5,169000
Maruti,Ertiga,2019,40000,1st Owner,Diesel,Manual,20.77,88.8,7,500000
Audi,Q7,2017,98000,2nd Owner,Diesel,Automatic,12.07,241.4,7,2000000
Maruti,Swift Dzire,2018,113450,1st Owner,Diesel,Manual,23.4,74.0,5,380000
Maruti,Wagon R,2023,80000,1st Owner,Petrol,Automatic,20.51,67.0,5,400000
Hyundai,Santro,2025,1000,2nd Owner,Petrol,Automatic,20.3,68.0,5,565000
Maruti,Wagon R,2020,20292,2nd Owner,Petrol,Manual,20.51,67.04,5,335000
Mahindra,Scorpio,2015,67900,2nd Owner,Diesel,Manual,12.05,120.0,7,300000
Mahindra,Scorpio,2020,40000,2nd Owner,Diesel,Manual,15.4,120.0,7,1051000
Hyundai,Grand,2022,60000,1st Owner,Diesel,Manual,24.0,73.97,5,510000
Renault,KWID,2023,25000,1st Owner,Petrol,Automatic,24.04,67.0,5,370000
Maruti,Wagon R,2011,70000,1st Owner,Petrol,Manual,18.9,67.1,5,200000
Maruti,Baleno,2023,21000,1st Owner,Diesel,Manual,27.39,74.0,5,625000
Mahindra,Scorpio,2023,39000,2nd Owner,Diesel,Manual,16.36,140.0,7,1290000
Hyundai,Creta,2022,30000,2nd Owner,Petrol,Manual,15.8,121.3,5,890000
Hyundai,Verna,2017,61000,2nd Owner,Diesel,Manual,22.32,126.3,5,420000
Maruti,Swift,2022,5743,3rd Owner,Petrol,Manual,20.4,83.11,5,500000
Hyundai,Grand,2023,24200,1st Owner,Petrol,Manual,18.9,81.86,5,600000
Maruti,Baleno,2022,57000,1st Owner,Diesel,Manual,27.39,74.0,5,590000
Hyundai,i10,2016,58000,2nd Owner,Petrol,Manual,20.36,78.9,5,190000
Datsun,GO,2022,15000,1st Owner,Petrol,Manual,19.44,67.0,7,500000
Maruti,Celerio,2022,10000,1st Owner,Petrol,Manual,23.1,67.04,5,450000
Mahindra,XUV500,2020,100000,1st Owner,Diesel,Manual,15.1,140.0,7,650000
BMW,Z4,2025,2000,2nd Owner,Petrol,Automatic,11.29,335.0,2,8250000
